,filename,filepath,starttime,endtime,npts,sampling_rate,delta,calib,_format,file_date
0,2020.02.01.CN.CNQ..EHZ.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.CNQ..EHZ.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.ICQ..HHE.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.ICQ..HHE.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.ICQ..HHN.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.ICQ..HHN.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.ICQ..HHZ.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.ICQ..HHZ.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.PMAQ..HHE.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.PMAQ..HHE.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.PMAQ..HHN.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.PMAQ..HHN.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.PMAQ..HHZ.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.PMAQ..HHZ.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.SMQ..EHZ.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.SMQ..EHZ.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.SNFQ..HHE.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.SNFQ..HHE.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.SNFQ..HHN.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.SNFQ..HHN.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.01.CN.SNFQ..HHZ.SAC,/network/projects/aia/whale_call/RAW/20200201/2020.02.01.CN.SNFQ..HHZ.SAC,2020-01-31T23:29:59.000000Z,2020-02-02T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.01
0,2020.02.02.CN.CNQ..EHZ.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.CNQ..EHZ.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.ICQ..HHE.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.ICQ..HHE.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.ICQ..HHN.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.ICQ..HHN.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.ICQ..HHZ.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.ICQ..HHZ.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.PMAQ..HHE.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.PMAQ..HHE.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.PMAQ..HHN.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.PMAQ..HHN.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.PMAQ..HHZ.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.PMAQ..HHZ.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.SMQ..EHZ.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.SMQ..EHZ.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.SNFQ..HHE.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.SNFQ..HHE.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.SNFQ..HHN.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.SNFQ..HHN.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.02.CN.SNFQ..HHZ.SAC,/network/projects/aia/whale_call/RAW/20200202/2020.02.02.CN.SNFQ..HHZ.SAC,2020-02-01T23:29:59.000000Z,2020-02-03T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.02
0,2020.02.03.CN.CNQ..EHZ.SAC,/network/projects/aia/whale_call/RAW/20200203/2020.02.03.CN.CNQ..EHZ.SAC,2020-02-02T23:36:42.000000Z,2020-02-04T00:30:01.000000Z,8959901,100.0,0.01,1.0,SAC,2020.02.03
0,2020.02.03.CN.ICQ..HHE.SAC,/network/projects/aia/whale_call/RAW/20200203/2020.02.03.CN.ICQ..HHE.SAC,2020-02-02T23:29:59.000000Z,2020-02-04T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.03
0,2020.02.03.CN.ICQ..HHN.SAC,/network/projects/aia/whale_call/RAW/20200203/2020.02.03.CN.ICQ..HHN.SAC,2020-02-02T23:29:59.000000Z,2020-02-04T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.03
0,2020.02.03.CN.ICQ..HHZ.SAC,/network/projects/aia/whale_call/RAW/20200203/2020.02.03.CN.ICQ..HHZ.SAC,2020-02-02T23:29:59.000000Z,2020-02-04T00:30:01.000000Z,9000201,100.0,0.01,1.0,SAC,2020.02.03
